participant #,condition,sheet #,experimenters,date,time,age,gender,A1,B1,C1,isBlickA1,isBlickB1,isBlickC1,D1,E1,F1,isBlickD1,isBlickE1,isBlickF1,A2,B2,C2,isBlickA2,isBlickB2,isBlickC2,D2,E2,F2,isBlickD2,isBlickE2,isBlickF2,changedAnswer,includeRep1,includeRep2,DBlickNum
13,DOR2,3*,CL,3/30/10,5:00:00 pm,19,M,red,purple,yellow,1,0,1,green,blue,orange,0,0,1,triangle,square,circle,1,0,1,cone,star,ball,0,0,1,0,1,0.5,0
12,DOR2,3*,CL,3/30/10,5:00:00 pm,21,M,red,purple,yellow,1,0,1,green,blue,orange,0,0,1,triangle,square,circle,1,0,1,cone,star,ball,0,0,1,0,1,0.5,0
11,DOR2,3*,CL,3/30/10,5:00:00 pm,20,M,red,purple,yellow,1,0,1,green,blue,orange,0,0,1,triangle,square,circle,1,0,1,cone,star,ball,0,0,1,0,1,0.5,0
10,DOR2,3*,CL,3/30/10,5:00:00 pm,23,M,red,purple,yellow,1,0,1,green,blue,orange,0,0,1,triangle,square,circle,1,0,1,cone,star,ball,0,0,1,0,1,0.5,0
9,DOR2,3*,CL,3/30/10,5:00:00 pm,20,F,red,purple,yellow,1,0,1,green,blue,orange,0,0,1,triangle,square,circle,1,0,1,cone,star,ball,0,0,1,0,1,0.5,0
8,DOR2,3*,CL,3/30/10,5:00:00 pm,19,F,red,purple,yellow,1,0,1,green,blue,orange,0,0,1,triangle,square,circle,1,0,1,cone,star,ball,0,0,1,0,1,0.5,0
7,DOR2,3*,CL,3/30/10,5:00:00 pm,19,F,red,purple,yellow,1,0,1,green,blue,orange,0,0,1,triangle,square,circle,1,0,1,cone,star,ball,0,0,1,0,1,0.5,0
6,DOR2,3*,CL,3/30/10,5:00:00 pm,20,F,red,purple,yellow,1,0,1,green,blue,orange,0,0,1,triangle,square,circle,1,0,1,cone,star,ball,0,0,1,0,1,0.5,0
5,DOR2,3*,CL,3/30/10,5:00:00 pm,25,M,red,purple,yellow,1,0,1,green,blue,orange,0,0,1,triangle,square,circle,1,0,1,cone,star,ball,0,0,1,0,1,0.5,0
4,DOR2,3*,CL,3/30/10,5:00:00 pm,18,F,red,purple,yellow,1,0,1,green,blue,orange,0,0,1,triangle,square,circle,1,0,1,cone,star,ball,0,0,1,0,1,0.5,0
3,DOR2,3*,CL,3/30/10,5:00:00 pm,19,F,red,purple,yellow,1,0,1,green,blue,orange,0,0,1,triangle,square,circle,1,0,1,cone,star,ball,0,0,1,0,1,0.5,0
2,DOR2,3*,CL,3/30/10,5:00:00 pm,18,F,red,purple,yellow,1,0,1,green,blue,orange,0,1,1,triangle,square,circle,1,0,1,cone,star,ball,0,1,1,0,1,0.5,0
1,DOR2,3*,CL,3/30/10,5:00:00 pm,22,M,red,purple,yellow,1,0,1,green,blue,orange,0,0,1,triangle,square,circle,1,0,1,cone,star,ball,0,0,1,0,1,0.5,0
